City,Days Overdue Breakdown,Loan Term in Years,Origination Date,Segment,State,Amount,Amount Due,Avg. Interest Rate,Calc for Metrics Parameter,Days Overdue,Loan Term in Months,No. of Loans,Risk Rate
Fort Wayne,90+,11-20 Years,2022-05-18,Small Business,Indiana,500.0,531.0,6,500,93,144,1,4
Cincinnati,31-45,11-20 Years,2022-05-10,Commercial,Ohio,1000.0,1047.0,5,"1,000",43,168,1,2
San Francisco,76-90,11-20 Years,2022-01-04,Commercial,California,500.0,531.0,6,500,82,180,1,4
Santa Monica,16-30,21-30 Years,2021-03-11,Commercial,California,2000.0,2082.0,4,"2,000",18,264,1,3
Pittsburgh,76-90,1-10 Years,2019-07-07,Commercial,Pennsylvania,1000.0,1062.0,6,"1,000",88,120,1,2
Saint Louis,0-15,21-30 Years,2022-05-10,Commercial,Missouri,500.0,524.0,5,500,9,288,1,1
Baltimore,0-15,11-20 Years,2022-06-04,Commercial,Maryland,500.0,520.0,4,500,3,132,1,3
Sacramento,16-30,21-30 Years,2022-04-08,Commercial,California,500.0,532.0,6,500,16,252,1,3
Las Vegas,46-60,1-10 Years,2021-01-27,Home Office,Nevada,6000.0,6539.0,9,"6,000",55,48,1,1
Richmond,31-45,11-20 Years,2022-05-08,Small Business,Virginia,5000.0,5240.0,5,"5,000",38,156,1,4
Seattle,76-90,1-10 Years,2020-02-17,Small Business,Washington,5000.0,5192.0,4,"5,000",79,60,1,4
Washington,0-15,11-20 Years,2022-01-31,Small Business,District of Columbia,6000.0,6182.0,3,"6,000",9,168,1,1
Simi Valley,0-15,11-20 Years,2020-03-30,Commercial,California,2000.0,2125.0,6,"2,000",12,156,1,1
El Paso,76-90,21-30 Years,2021-10-22,Commercial,Texas,7000.0,7427.0,6,"7,000",85,252,1,4
Everett,76-90,11-20 Years,2021-09-10,Small Business,Washington,500.0,530.0,6,500,77,180,1,4
Carol Stream,76-90,1-10 Years,2022-07-04,Small Business,Illinois,8000.0,8350.0,4,"8,000",85,60,1,3
Brooklyn,16-30,11-20 Years,2022-06-30,Small Business,New York,500.0,525.0,5,500,27,144,1,2
Des Moines,31-45,11-20 Years,2019-08-19,Small Business,Iowa,500.0,512.0,2,500,44,132,1,4
Richmond,31-45,21-30 Years,2021-07-24,Commercial,Virginia,1000.0,1067.0,7,"1,000",35,252,1,3
El Paso,16-30,21-30 Years,2021-11-10,Commercial,Texas,500.0,530.0,6,500,18,324,1,3
Sarasota,16-30,11-20 Years,2022-04-17,Home Mortgage,Florida,2000.0,2079.0,4,"2,000",30,192,1,3
Omaha,61-75,11-20 Years,2019-12-22,Home Mortgage,Nebraska,500.0,523.0,5,500,61,228,1,1
San Francisco,90+,11-20 Years,2021-08-13,Small Business,California,1000.0,1044.0,4,"1,000",91,180,1,3
Portsmouth,16-30,1-10 Years,2021-08-14,Business,New Hampshire,500.0,525.0,5,500,24,60,1,1
Augusta,0-15,11-20 Years,2021-09-30,Commercial,Georgia,1000.0,1070.0,7,"1,000",12,180,1,1
Austin,90+,11-20 Years,2022-07-08,Commercial,Texas,500.0,532.0,6,500,92,204,1,4
Corpus Christi,61-75,11-20 Years,2019-11-04,Commercial,Texas,500.0,526.0,5,500,63,240,1,4
Alexandria,46-60,21-30 Years,2021-12-20,Commercial,Virginia,500.0,533.0,7,500,49,276,1,4
Washington,76-90,21-30 Years,2020-08-10,Commercial,District of Columbia,500.0,527.0,5,500,84,300,1,2
Richmond,31-45,11-20 Years,2021-02-14,Commercial,Virginia,500.0,520.0,4,500,35,144,1,3
Atlanta,0-15,11-20 Years,2021-07-26,Commercial,Georgia,500.0,528.0,6,500,8,204,1,1
Oklahoma City,61-75,21-30 Years,2020-06-03,Commercial,Oklahoma,500.0,527.0,5,500,66,288,1,4
Chicago,46-60,11-20 Years,2019-11-17,Home Mortgage,Illinois,3000.0,3137.0,5,"3,000",58,204,1,4
Saint Paul,76-90,1-10 Years,2019-09-27,Home Office,Minnesota,500.0,533.0,7,500,85,12,1,3
Orlando,61-75,1-10 Years,2019-12-13,Small Business,Florida,500.0,528.0,6,500,70,108,1,1
Washington,16-30,11-20 Years,2021-09-28,Small Business,District of Columbia,500.0,526.0,5,500,30,144,1,4
New Hyde Park,61-75,1-10 Years,2020-06-20,Small Business,New York,500.0,530.0,6,500,63,72,1,2
Wichita,0-15,1-10 Years,2021-08-02,Commercial,Kansas,4000.0,4179.0,4,"4,000",11,120,1,3
Wilmington,0-15,11-20 Years,2022-06-28,Commercial,North Carolina,500.0,534.0,7,500,10,204,1,1
Phoenix,0-15,11-20 Years,2022-03-31,Commercial,Arizona,500.0,523.0,5,500,14,180,1,4
Birmingham,61-75,1-10 Years,2021-11-11,Commercial,Alabama,500.0,524.0,5,500,70,120,1,1
New York City,16-30,21-30 Years,2020-10-06,Commercial,New York,1000.0,1062.0,6,"1,000",18,360,1,3
Fresno,16-30,11-20 Years,2021-09-24,Home Mortgage,California,1000.0,1044.0,4,"1,000",23,228,1,2
Huntington Beach,46-60,11-20 Years,2020-10-02,Commercial,California,500.0,524.0,5,500,52,168,1,1
Atlanta,16-30,21-30 Years,2021-09-06,Commercial,Georgia,1000.0,1070.0,7,"1,000",16,324,1,2
Indianapolis,31-45,11-20 Years,2021-02-01,Commercial,Indiana,500.0,527.0,5,500,35,228,1,3
Lubbock,0-15,21-30 Years,2021-05-02,Commercial,Texas,2000.0,2112.0,6,"2,000",6,276,1,3
Appleton,31-45,21-30 Years,2022-03-19,Commercial,Wisconsin,500.0,535.0,7,500,41,336,1,3
Fort Wayne,31-45,21-30 Years,2022-01-28,Commercial,Indiana,500.0,532.0,6,500,36,288,1,2
Philadelphia,46-60,11-20 Years,2020-02-20,Commercial,Pennsylvania,500.0,528.0,6,500,56,180,1,1
Trenton,76-90,21-30 Years,2022-01-07,Commercial,New Jersey,2000.0,2099.0,5,"2,000",77,348,1,4
Bloomington,46-60,11-20 Years,2022-03-20,Commercial,Illinois,1000.0,1044.0,4,"1,000",48,180,1,1
Chicago,46-60,1-10 Years,2020-03-21,Commercial,Illinois,500.0,522.0,4,500,48,120,1,2
Dallas,0-15,11-20 Years,2022-03-03,Commercial,Texas,500.0,523.0,5,500,4,228,1,2
Spring,46-60,11-20 Years,2020-04-16,Commercial,Texas,1000.0,1062.0,6,"1,000",50,240,1,3
Sandy,61-75,21-30 Years,2020-10-05,Home Mortgage,Utah,500.0,515.0,3,500,70,276,1,1
San Francisco,31-45,21-30 Years,2021-02-10,Home Mortgage,California,500.0,523.0,5,500,45,360,1,1
Santa Fe,16-30,21-30 Years,2020-09-18,Home Mortgage,New Mexico,500.0,528.0,6,500,21,312,1,4
Sacramento,31-45,21-30 Years,2020-09-21,Home Mortgage,California,500.0,520.0,4,500,43,276,1,4
Fresno,46-60,11-20 Years,2021-09-04,Home Mortgage,California,500.0,521.0,4,500,46,180,1,1
Johnson City,61-75,11-20 Years,2020-11-21,Home Mortgage,Tennessee,500.0,522.0,4,500,63,204,1,4
Saint Cloud,16-30,21-30 Years,2020-09-21,Home Mortgage,Minnesota,5000.0,5282.0,6,"5,000",26,312,1,1
Dallas,61-75,11-20 Years,2020-08-03,Small Business,Texas,1000.0,1031.0,3,"1,000",65,168,1,3
Brockton,16-30,11-20 Years,2020-11-08,Small Business,Massachusetts,500.0,516.0,3,500,22,132,1,2
Virginia Beach,90+,11-20 Years,2021-07-07,Small Business,Virginia,1000.0,1041.0,4,"1,000",92,180,1,2
Birmingham,0-15,11-20 Years,2020-07-10,Small Business,Alabama,500.0,526.0,5,500,13,180,1,1
Albuquerque,61-75,1-10 Years,2019-09-29,Small Business,New Mexico,4000.0,4180.0,4,"4,000",68,108,1,3
North Las Vegas,46-60,1-10 Years,2022-03-07,Small Business,Nevada,8000.0,8352.0,4,"8,000",51,120,1,3
Houston,76-90,11-20 Years,2020-04-04,Small Business,Texas,1000.0,1027.0,3,"1,000",78,132,1,2
Miami,31-45,1-10 Years,2021-08-23,Small Business,Florida,500.0,517.0,3,500,31,72,1,3
Washington,76-90,11-20 Years,2022-07-30,Commercial,District of Columbia,500.0,522.0,4,500,80,156,1,4
Silver Spring,0-15,21-30 Years,2021-05-14,Commercial,Maryland,500.0,528.0,6,500,15,336,1,2
Memphis,31-45,11-20 Years,2021-02-24,Commercial,Tennessee,500.0,532.0,6,500,36,168,1,1
Miami,16-30,11-20 Years,2022-02-20,Commercial,Florida,500.0,522.0,4,500,18,204,1,3
Minneapolis,90+,11-20 Years,2020-07-11,Commercial,Minnesota,1000.0,1046.0,5,"1,000",91,204,1,2
Las Cruces,46-60,11-20 Years,2021-04-21,Home Mortgage,New Mexico,500.0,521.0,4,500,59,204,1,1
Savannah,16-30,1-10 Years,2020-04-24,Home Office,Georgia,500.0,536.0,7,500,24,48,1,3
Decatur,46-60,1-10 Years,2019-09-27,Small Business,Georgia,6000.0,6325.0,5,"6,000",57,120,1,1
Portland,46-60,1-10 Years,2020-04-26,Small Business,Oregon,5000.0,5273.0,5,"5,000",59,120,1,3
Columbus,0-15,1-10 Years,2019-11-07,Small Business,Ohio,8000.0,8404.0,5,"8,000",2,72,1,1
Evansville,0-15,1-10 Years,2020-07-13,Small Business,Indiana,500.0,521.0,4,500,15,96,1,1
Atlanta,16-30,11-20 Years,2021-02-11,Small Business,Georgia,1000.0,1038.0,4,"1,000",17,144,1,1
Evansville,16-30,21-30 Years,2022-06-12,Commercial,Indiana,1000.0,1042.0,4,"1,000",21,288,1,2
Phoenix,46-60,21-30 Years,2020-05-27,Commercial,Arizona,500.0,534.0,7,500,48,360,1,4
Santa Monica,76-90,11-20 Years,2021-05-11,Commercial,California,500.0,520.0,4,500,84,240,1,1
Arlington,31-45,11-20 Years,2020-08-08,Commercial,Virginia,500.0,530.0,6,500,37,156,1,4
Wichita,46-60,21-30 Years,2020-06-21,Commercial,Kansas,500.0,523.0,5,500,54,300,1,3
Bryan,46-60,1-10 Years,2021-05-23,Small Business,Texas,500.0,530.0,6,500,46,84,1,1
Houston,31-45,11-20 Years,2020-01-11,Commercial,Texas,5000.0,5268.0,5,"5,000",41,144,1,1
Fort Worth,61-75,11-20 Years,2021-04-17,Commercial,Texas,1000.0,1063.0,6,"1,000",73,228,1,1
Charlotte,61-75,11-20 Years,2021-06-18,Small Business,North Carolina,1000.0,1043.0,4,"1,000",64,168,1,3
Salt Lake City,46-60,1-10 Years,2021-10-19,Small Business,Utah,500.0,531.0,6,500,53,96,1,3
Tulsa,31-45,1-10 Years,2020-10-21,Small Business,Oklahoma,5000.0,5285.0,6,"5,000",37,72,1,1
Dallas,46-60,11-20 Years,2020-07-29,Commercial,Texas,500.0,529.0,6,500,47,204,1,4
Macon,76-90,1-10 Years,2020-05-01,Commercial,Georgia,500.0,531.0,6,500,90,120,1,1
Mobile,46-60,21-30 Years,2021-07-22,Commercial,Alabama,500.0,535.0,7,500,52,288,1,3
Spokane,31-45,21-30 Years,2020-10-18,Commercial,Washington,500.0,523.0,5,500,39,336,1,2
Saint Paul,31-45,11-20 Years,2021-11-17,Commercial,Minnesota,1000.0,1047.0,5,"1,000",43,144,1,4
Erie,16-30,21-30 Years,2022-05-22,Commercial,Pennsylvania,500.0,533.0,7,500,29,348,1,2
Buffalo,46-60,11-20 Years,2022-05-29,Commercial,New York,8000.0,8421.0,5,"8,000",53,204,1,3
Omaha,31-45,21-30 Years,2022-03-30,Commercial,Nebraska,1000.0,1066.0,7,"1,000",33,324,1,4
Hollywood,31-45,11-20 Years,2019-11-27,Commercial,Florida,1000.0,1041.0,4,"1,000",41,156,1,3
Shawnee Mission,61-75,21-30 Years,2020-04-16,Commercial,Kansas,500.0,529.0,6,500,65,276,1,2
Myrtle Beach,76-90,21-30 Years,2022-05-29,Commercial,South Carolina,8000.0,8510.0,6,"8,000",86,336,1,1
Washington,61-75,21-30 Years,2020-11-24,Commercial,District of Columbia,500.0,532.0,6,500,68,348,1,1
Boise,16-30,11-20 Years,2022-07-24,Commercial,Idaho,500.0,532.0,6,500,27,204,1,2
Madison,46-60,21-30 Years,2021-03-28,Commercial,Wisconsin,500.0,524.0,5,500,55,264,1,4
Sacramento,46-60,21-30 Years,2021-05-18,Home Mortgage,California,500.0,517.0,3,500,46,348,1,1
El Paso,76-90,1-10 Years,2022-05-31,Personal Loans,Texas,500.0,547.0,9,500,87,24,1,3
Grand Rapids,16-30,11-20 Years,2020-06-26,Small Business,Michigan,2000.0,2123.0,6,"2,000",29,180,1,3
Fresno,31-45,11-20 Years,2021-05-25,Small Business,California,1000.0,1028.0,3,"1,000",32,144,1,1
El Paso,0-15,11-20 Years,2020-01-19,Small Business,Texas,1000.0,1054.0,5,"1,000",7,132,1,4
Asheville,61-75,1-10 Years,2022-06-26,Small Business,North Carolina,500.0,531.0,6,500,65,96,1,4
Oakland,0-15,11-20 Years,2020-03-22,Small Business,California,2000.0,2121.0,6,"2,000",9,156,1,4
Saint Louis,61-75,21-30 Years,2022-04-23,Home Mortgage,Missouri,500.0,523.0,5,500,71,252,1,4
Richmond,16-30,11-20 Years,2020-11-21,Home Mortgage,Virginia,6000.0,6344.0,6,"6,000",24,216,1,1
Spring,0-15,1-10 Years,2022-03-22,Small Business,Texas,500.0,511.0,2,500,11,108,1,2
Tampa,16-30,1-10 Years,2022-03-01,Small Business,Florida,2000.0,2096.0,5,"2,000",24,72,1,3
Youngstown,16-30,11-20 Years,2021-06-10,Commercial,Ohio,500.0,531.0,6,500,16,216,1,1
New Haven,46-60,11-20 Years,2022-07-12,Home Mortgage,Connecticut,2000.0,2081.0,4,"2,000",50,180,1,1
Naples,76-90,11-20 Years,2021-10-20,Small Business,Florida,1500.0,1572.0,5,"1,500",76,180,1,4
Denver,76-90,1-10 Years,2020-12-16,Small Business,Colorado,1000.0,1030.0,3,"1,000",84,60,1,4
Austin,0-15,21-30 Years,2022-03-09,Commercial,Texas,4000.0,4178.0,4,"4,000",1,360,1,1
Kansas City,76-90,1-10 Years,2020-11-10,Home Office,Missouri,500.0,543.0,9,500,81,60,1,3
Billings,76-90,11-20 Years,2022-04-27,Small Business,Montana,11000.0,11611.0,6,"11,000",85,132,1,1
Naperville,0-15,11-20 Years,2022-04-08,Small Business,Illinois,500.0,520.0,4,500,11,132,1,2
Santa Cruz,0-15,1-10 Years,2019-08-20,Commercial,California,500.0,534.0,7,500,11,120,1,4
Schenectady,31-45,1-10 Years,2021-02-20,Commercial,New York,500.0,533.0,7,500,34,120,1,1
Mountain View,61-75,11-20 Years,2021-05-17,Commercial,California,500.0,531.0,6,500,75,156,1,3
Miami,0-15,21-30 Years,2021-03-27,Commercial,Florida,500.0,527.0,5,500,13,312,1,4
Corpus Christi,61-75,21-30 Years,2020-06-09,Commercial,Texas,500.0,531.0,6,500,72,288,1,2
Beaverton,31-45,11-20 Years,2021-01-27,Home Mortgage,Oregon,500.0,528.0,6,500,37,192,1,2
Sacramento,76-90,21-30 Years,2022-04-16,Home Mortgage,California,500.0,522.0,4,500,82,264,1,4
Bridgeport,61-75,1-10 Years,2021-04-04,Home Office,Connecticut,500.0,531.0,6,500,66,48,1,1
Fort Myers,0-15,1-10 Years,2021-10-13,Home Office,Florida,500.0,532.0,6,500,4,48,1,3
Provo,16-30,11-20 Years,2022-01-09,Small Business,Utah,17000.0,17413.0,2,"17,000",30,156,1,3
Wilkes Barre,0-15,1-10 Years,2021-02-09,Small Business,Pennsylvania,500.0,527.0,5,500,8,84,1,3
Gainesville,0-15,11-20 Years,2019-12-12,Small Business,Florida,500.0,516.0,3,500,6,132,1,1
Kansas City,90+,11-20 Years,2022-02-15,Commercial,Missouri,500.0,521.0,4,500,95,180,1,3
Evansville,76-90,11-20 Years,2022-04-11,Commercial,Indiana,500.0,523.0,5,500,88,228,1,4
Louisville,76-90,1-10 Years,2020-12-05,Commercial,Kentucky,3000.0,3146.0,5,"3,000",87,120,1,3
Fayetteville,31-45,11-20 Years,2021-04-08,Commercial,North Carolina,500.0,532.0,6,500,36,144,1,2
Washington,31-45,11-20 Years,2022-07-03,Commercial,District of Columbia,500.0,530.0,6,500,32,144,1,1
New Hyde Park,16-30,11-20 Years,2019-11-02,Small Business,New York,1000.0,1033.0,3,"1,000",20,156,1,3
Albany,16-30,1-10 Years,2021-03-04,Business,New York,4000.0,4277.0,7,"4,000",17,96,1,2
Tampa,31-45,11-20 Years,2021-02-20,Commercial,Florida,1000.0,1058.0,6,"1,000",43,168,1,1
Oceanside,16-30,11-20 Years,2020-11-17,Commercial,California,1000.0,1068.0,7,"1,000",20,204,1,2
Biloxi,31-45,21-30 Years,2022-07-20,Commercial,Mississippi,500.0,526.0,5,500,41,252,1,4
Baltimore,16-30,1-10 Years,2021-05-21,Commercial,Maryland,500.0,522.0,4,500,28,120,1,3
Hartford,76-90,21-30 Years,2022-06-30,Commercial,Connecticut,4000.0,4169.0,4,"4,000",90,324,1,3
Salem,31-45,11-20 Years,2022-02-02,Commercial,Oregon,500.0,527.0,5,500,37,204,1,3
Montgomery,46-60,21-30 Years,2022-02-01,Commercial,Alabama,500.0,532.0,6,500,56,276,1,2
Buffalo,46-60,21-30 Years,2021-03-15,Home Mortgage,New York,500.0,515.0,3,500,59,300,1,3
Washington,46-60,11-20 Years,2022-07-13,Small Business,District of Columbia,1000.0,1041.0,4,"1,000",55,144,1,4
Tulsa,46-60,1-10 Years,2020-08-13,Business,Oklahoma,16000.0,16867.0,5,"16,000",55,72,1,3
Jamaica,31-45,1-10 Years,2019-08-06,Business,New York,500.0,527.0,5,500,37,84,1,4
Huntington,31-45,21-30 Years,2021-12-23,Commercial,West Virginia,1000.0,1052.0,5,"1,000",31,264,1,2
Toledo,31-45,11-20 Years,2022-04-03,Commercial,Ohio,8000.0,8494.0,6,"8,000",42,180,1,4
San Diego,31-45,21-30 Years,2019-10-31,Home Mortgage,California,500.0,521.0,4,500,43,300,1,2
Visalia,0-15,11-20 Years,2021-05-03,Home Mortgage,California,7000.0,7351.0,5,"7,000",1,216,1,1
Charleston,61-75,21-30 Years,2022-01-03,Home Mortgage,West Virginia,4000.0,4149.0,4,"4,000",74,348,1,1
Salt Lake City,76-90,11-20 Years,2022-04-12,Home Mortgage,Utah,500.0,516.0,3,500,85,180,1,2
Fort Worth,61-75,21-30 Years,2019-11-15,Home Mortgage,Texas,500.0,528.0,6,500,65,252,1,1
Washington,16-30,21-30 Years,2020-05-16,Home Mortgage,District of Columbia,1000.0,1054.0,5,"1,000",29,312,1,1
Charleston,0-15,1-10 Years,2020-04-10,Business,West Virginia,500.0,531.0,6,500,11,60,1,1
Topeka,16-30,11-20 Years,2020-09-16,Commercial,Kansas,3000.0,3187.0,6,"3,000",16,180,1,1
Flushing,61-75,21-30 Years,2019-12-26,Commercial,New York,1000.0,1053.0,5,"1,000",68,264,1,2
Springfield,90+,21-30 Years,2021-09-12,Commercial,Virginia,500.0,523.0,5,500,91,348,1,2
Dallas,90+,21-30 Years,2020-01-19,Commercial,Texas,1000.0,1057.0,6,"1,000",92,252,1,2
Albuquerque,61-75,21-30 Years,2022-05-27,Commercial,New Mexico,8000.0,8393.0,5,"8,000",73,360,1,4
Providence,90+,1-10 Years,2021-03-31,Commercial,Rhode Island,500.0,524.0,5,500,91,120,1,4
Palmdale,31-45,11-20 Years,2022-04-16,Commercial,California,500.0,524.0,5,500,34,240,1,4
Irvine,0-15,11-20 Years,2021-06-25,Commercial,California,500.0,530.0,6,500,12,204,1,3
Memphis,0-15,11-20 Years,2021-06-13,Home Mortgage,Tennessee,500.0,517.0,3,500,15,180,1,3
Buffalo,76-90,1-10 Years,2020-09-05,Home Office,New York,500.0,544.0,9,500,81,12,1,3
West Palm Beach,46-60,1-10 Years,2020-06-19,Small Business,Florida,500.0,521.0,4,500,50,60,1,4
Scottsdale,46-60,1-10 Years,2020-03-07,Small Business,Arizona,500.0,513.0,3,500,47,72,1,4
Hagerstown,46-60,1-10 Years,2021-09-01,Business,Maryland,500.0,527.0,5,500,55,108,1,3
Omaha,61-75,11-20 Years,2021-11-10,Commercial,Nebraska,1000.0,1053.0,5,"1,000",72,240,1,4
Pittsburgh,76-90,11-20 Years,2020-09-04,Home Mortgage,Pennsylvania,500.0,519.0,4,500,87,204,1,4
Providence,31-45,11-20 Years,2019-10-15,Small Business,Rhode Island,1000.0,1041.0,4,"1,000",45,132,1,3
Palmdale,61-75,11-20 Years,2019-09-23,Small Business,California,2000.0,2091.0,5,"2,000",70,180,1,1
Buffalo,76-90,21-30 Years,2022-03-31,Commercial,New York,500.0,532.0,6,500,83,276,1,3
Houston,31-45,21-30 Years,2019-08-31,Commercial,Texas,500.0,530.0,6,500,36,288,1,1
Jamaica,16-30,11-20 Years,2021-12-01,Home Mortgage,New York,1000.0,1040.0,4,"1,000",18,216,1,2
Fresno,76-90,1-10 Years,2022-06-08,Home Office,California,500.0,542.0,8,500,80,12,1,1
Tucson,90+,1-10 Years,2022-03-19,Small Business,Arizona,500.0,528.0,6,500,93,108,1,1
Bradenton,16-30,1-10 Years,2020-02-06,Small Business,Florida,500.0,530.0,6,500,17,96,1,2
Seattle,46-60,11-20 Years,2020-11-29,Small Business,Washington,500.0,517.0,3,500,51,156,1,1
Columbia,76-90,11-20 Years,2019-08-19,Commercial,South Carolina,500.0,535.0,7,500,80,228,1,2
Albuquerque,31-45,21-30 Years,2020-11-25,Commercial,New Mexico,500.0,523.0,5,500,45,312,1,3
Louisville,76-90,11-20 Years,2021-09-16,Commercial,Kentucky,4000.0,4240.0,6,"4,000",88,240,1,3
Atlanta,76-90,21-30 Years,2022-04-10,Commercial,Georgia,1000.0,1067.0,7,"1,000",76,300,1,3
Dayton,90+,21-30 Years,2020-06-18,Commercial,Ohio,1000.0,1065.0,6,"1,000",94,300,1,2
Kansas City,76-90,21-30 Years,2022-05-22,Commercial,Missouri,1000.0,1067.0,7,"1,000",81,360,1,2
Tyler,31-45,1-10 Years,2020-03-23,Commercial,Texas,500.0,525.0,5,500,32,120,1,4
Houston,0-15,11-20 Years,2020-02-19,Commercial,Texas,500.0,533.0,7,500,4,240,1,2
Camden,46-60,21-30 Years,2020-11-20,Commercial,New Jersey,3000.0,3155.0,5,"3,000",50,252,1,1
Toledo,0-15,21-30 Years,2021-02-08,Commercial,Ohio,1000.0,1040.0,4,"1,000",10,312,1,4
Louisville,0-15,11-20 Years,2021-02-04,Home Mortgage,Kentucky,500.0,521.0,4,500,14,192,1,2
Sacramento,61-75,21-30 Years,2020-02-26,Home Mortgage,California,500.0,528.0,6,500,69,312,1,4
Birmingham,16-30,1-10 Years,2021-04-20,Small Business,Alabama,500.0,515.0,3,500,27,120,1,4
Pompano Beach,61-75,1-10 Years,2021-03-04,Small Business,Florida,1000.0,1043.0,4,"1,000",66,60,1,1
Madison,16-30,11-20 Years,2021-01-10,Small Business,Wisconsin,1500.0,1565.0,4,"1,500",19,180,1,1
Washington,61-75,11-20 Years,2020-12-31,Small Business,District of Columbia,21000.0,22409.0,7,"21,000",75,168,1,1
Lexington,76-90,11-20 Years,2020-04-08,Commercial,Kentucky,500.0,532.0,6,500,85,168,1,3
New Orleans,16-30,21-30 Years,2020-09-09,Commercial,Louisiana,3000.0,3134.0,4,"3,000",24,276,1,1
Fullerton,0-15,21-30 Years,2021-11-11,Commercial,California,500.0,528.0,6,500,13,348,1,4
Reading,31-45,11-20 Years,2021-04-09,Commercial,Pennsylvania,500.0,533.0,7,500,32,156,1,1
Trenton,31-45,21-30 Years,2020-09-02,Commercial,New Jersey,500.0,529.0,6,500,43,324,1,4
Los Angeles,61-75,21-30 Years,2020-01-12,Commercial,California,1000.0,1051.0,5,"1,000",75,252,1,2
Waterbury,46-60,1-10 Years,2019-11-25,Commercial,Connecticut,500.0,529.0,6,500,56,120,1,3
Trenton,16-30,11-20 Years,2020-07-21,Commercial,New Jersey,8000.0,8547.0,7,"8,000",23,240,1,3
Dallas,90+,11-20 Years,2021-05-20,Commercial,Texas,500.0,526.0,5,500,92,204,1,3
Washington,46-60,21-30 Years,2021-09-03,Home Mortgage,District of Columbia,7000.0,7382.0,5,"7,000",49,336,1,2
Minneapolis,16-30,11-20 Years,2020-08-07,Commercial,Minnesota,500.0,525.0,5,500,27,180,1,2
Washington,16-30,21-30 Years,2021-07-19,Commercial,District of Columbia,1000.0,1041.0,4,"1,000",29,264,1,4
Peoria,31-45,21-30 Years,2021-05-12,Home Mortgage,Illinois,500.0,529.0,6,500,36,348,1,4
Grand Rapids,46-60,21-30 Years,2020-04-06,Home Mortgage,Michigan,500.0,518.0,4,500,57,360,1,1
Kansas City,46-60,11-20 Years,2021-05-15,Home Mortgage,Missouri,1000.0,1036.0,4,"1,000",52,180,1,2
Tulsa,31-45,1-10 Years,2021-02-25,Home Office,Oklahoma,500.0,541.0,8,500,31,60,1,4
Sacramento,0-15,1-10 Years,2021-03-05,Small Business,California,500.0,518.0,4,500,3,108,1,4
Ocala,0-15,1-10 Years,2019-10-04,Business,Florida,500.0,520.0,4,500,5,72,1,1
Durham,16-30,21-30 Years,2022-01-04,Commercial,North Carolina,5000.0,5300.0,6,"5,000",30,252,1,4
Orlando,76-90,21-30 Years,2022-03-16,Commercial,Florida,500.0,525.0,5,500,77,264,1,4
Trenton,31-45,11-20 Years,2020-01-15,Commercial,New Jersey,3000.0,3171.0,6,"3,000",41,228,1,2
Denver,0-15,21-30 Years,2021-10-14,Commercial,Colorado,500.0,522.0,4,500,14,264,1,3
Fort Lauderdale,16-30,21-30 Years,2021-08-18,Commercial,Florida,1000.0,1059.0,6,"1,000",27,348,1,4
Madison,76-90,21-30 Years,2021-11-24,Home Mortgage,Wisconsin,1000.0,1034.0,3,"1,000",86,336,1,2
Albany,16-30,11-20 Years,2021-08-18,Home Mortgage,Georgia,2000.0,2105.0,5,"2,000",16,240,1,4
Youngstown,0-15,1-10 Years,2019-09-10,Home Office,Ohio,4000.0,4276.0,7,"4,000",11,12,1,1
Austin,31-45,21-30 Years,2019-07-27,Commercial,Texas,4000.0,4264.0,7,"4,000",41,312,1,4
Miami,61-75,21-30 Years,2021-03-27,Commercial,Florida,1000.0,1046.0,5,"1,000",63,252,1,2
Portland,46-60,11-20 Years,2021-07-21,Commercial,Maine,5000.0,5308.0,6,"5,000",47,168,1,3
Fort Myers,61-75,1-10 Years,2019-08-08,Commercial,Florida,6000.0,6284.0,5,"6,000",71,120,1,4
Chicago,0-15,21-30 Years,2020-04-11,Commercial,Illinois,500.0,526.0,5,500,15,324,1,2
Huntsville,76-90,11-20 Years,2019-11-27,Commercial,Alabama,1000.0,1067.0,7,"1,000",88,240,1,3
